roll no | spi_1  |  spi_2  |  cpi  |
240608  |  7.35  |  7.58  |  7.47  | 
240812  |  7.13  |  7.77  |  7.47  | 
240979  |  6.80  |  8.06  |  7.47  | 
241172  |  7.30  |  7.62  |  7.47  | 
240105  |  7.50  |  7.41  |  7.46  | 
240110  |  7.02  |  7.96  |  7.46  | 
240560  |  7.65  |  7.24  |  7.46  | 
240091  |  7.19  |  7.76  |  7.46  | 
240937  |  6.94  |  8.04  |  7.46  | 
240746  |  7.02  |  7.85  |  7.46  | 
240756  |  6.72  |  8.12  |  7.46  | 
240958  |  6.80  |  8.04  |  7.46  | 
241150  |  6.80  |  8.02  |  7.45  | 
240821  |  7.04  |  7.79  |  7.44  | 
241092  |  6.30  |  8.44  |  7.44  | 
241094  |  6.89  |  7.92  |  7.44  | 
240048  |  7.60  |  7.24  |  7.43  | 
241196  |  6.83  |  7.96  |  7.43  | 
240375  |  7.71  |  7.09  |  7.42  | 
241032  |  7.27  |  7.59  |  7.42  | 
240844  |  7.35  |  7.48  |  7.42  | 
240079  |  7.02  |  7.85  |  7.41  | 
240460  |  8.15  |  6.57  |  7.41  | 
240118  |  7.46  |  7.36  |  7.41  | 
240282  |  6.90  |  7.98  |  7.41  | 
240783  |  7.33  |  7.48  |  7.41  | 
240157  |  6.87  |  8.00  |  7.40  | 
240438  |  7.15  |  7.67  |  7.40  | 
240158  |  8.00  |  7.26  |  7.40  | 
240939  |  6.61  |  8.10  |  7.40  | 
241139  |  6.96  |  7.79  |  7.40  | 
240089  |  7.75  |  6.98  |  7.39  | 
240101  |  6.73  |  8.13  |  7.39  | 
240183  |  7.79  |  6.93  |  7.39  | 
240333  |  7.33  |  7.46  |  7.39  | 
240358  |  7.00  |  7.48  |  7.39  | 
240713  |  7.30  |  7.46  |  7.39  | 
240839  |  7.22  |  7.52  |  7.38  | 
240861  |  6.74  |  7.94  |  7.38  | 
241157  |  7.90  |  6.76  |  7.37  | 
240381  |  7.17  |  7.54  |  7.37  | 
240096  |  7.35  |  7.37  |  7.36  | 
241009  |  6.67  |  7.96  |  7.36  | 
240315  |  7.42  |  7.26  |  7.35  | 
240377  |  7.88  |  6.74  |  7.35  | 
240486  |  7.00  |  7.43  |  7.35  | 
240899  |  6.67  |  7.94  |  7.35  | 
240007  |  7.44  |  7.22  |  7.34  | 
240209  |  7.08  |  7.63  |  7.34  | 
240364  |  7.83  |  6.78  |  7.34  | 
240879  |  7.27  |  7.40  |  7.34  | 
240256  |  7.46  |  7.20  |  7.34  | 
240648  |  6.96  |  7.67  |  7.34  | 
240806  |  7.30  |  7.37  |  7.34  | 
241135  |  7.30  |  7.37  |  7.34  | 
240284  |  7.48  |  7.15  |  7.33  | 
240634  |  6.83  |  7.77  |  7.33  | 
240923  |  6.54  |  8.02  |  7.33  | 
240997  |  7.13  |  7.50  |  7.33  | 
241204  |  6.89  |  7.71  |  7.33  | 
240104  |  7.06  |  7.61  |  7.32  | 
240462  |  6.74  |  7.83  |  7.32  | 
240445  |  7.48  |  7.11  |  7.31  | 
