roll no | spi_1  |  spi_2  |  cpi  |
240074  |  8.25  |  8.26  |  8.26  | 
240869  |  8.15  |  8.26  |  8.20  | 
240467  |  8.35  |  8.25  |  8.30  | 
240792  |  6.91  |  8.25  |  7.62  | 
241071  |  7.70  |  8.25  |  7.99  | 
240476  |  9.04  |  8.24  |  8.66  | 
240665  |  7.96  |  8.23  |  8.10  | 
240747  |  8.50  |  8.23  |  8.36  | 
241118  |  7.48  |  8.23  |  7.88  | 
240054  |  7.35  |  8.22  |  7.76  | 
240115  |  7.27  |  8.22  |  7.71  | 
240124  |  7.02  |  8.22  |  7.58  | 
240058  |  8.29  |  8.22  |  8.26  | 
240245  |  7.25  |  8.22  |  7.70  | 
240424  |  7.22  |  8.21  |  7.74  | 
240575  |  8.65  |  8.21  |  8.32  | 
240709  |  6.65  |  8.21  |  7.48  | 
240744  |  6.67  |  8.21  |  7.49  | 
240755  |  8.39  |  8.21  |  8.30  | 
240815  |  8.15  |  8.21  |  8.18  | 
240857  |  8.96  |  8.21  |  8.56  | 
241013  |  8.43  |  8.21  |  8.32  | 
240217  |  7.79  |  8.20  |  7.98  | 
240484  |  8.00  |  8.19  |  8.10  | 
240603  |  7.13  |  8.19  |  7.69  | 
240890  |  7.80  |  8.19  |  8.01  | 
240973  |  7.54  |  8.19  |  7.89  | 
240582  |  7.60  |  8.17  |  7.87  | 
240081  |  8.25  |  8.17  |  8.21  | 
240831  |  7.04  |  8.17  |  7.64  | 
240719  |  8.43  |  8.15  |  8.29  | 
240941  |  7.93  |  8.15  |  8.05  | 
241183  |  7.29  |  8.15  |  7.94  | 
240101  |  6.73  |  8.13  |  7.39  | 
240025  |  8.52  |  8.13  |  8.34  | 
240915  |  8.17  |  8.13  |  8.15  | 
241179  |  7.89  |  8.13  |  8.02  | 
241210  |  8.15  |  8.13  |  8.14  | 
240369  |  8.17  |  8.12  |  8.14  | 
240520  |  7.33  |  8.12  |  7.74  | 
240639  |  7.65  |  8.12  |  7.90  | 
240756  |  6.72  |  8.12  |  7.46  | 
240909  |  7.63  |  8.12  |  7.89  | 
240257  |  7.33  |  8.11  |  7.69  | 
240177  |  7.15  |  8.11  |  7.60  | 
240825  |  7.26  |  8.10  |  7.70  | 
240896  |  7.04  |  8.10  |  7.60  | 
240939  |  6.61  |  8.10  |  7.40  | 
240982  |  8.98  |  8.10  |  8.53  | 
241020  |  7.83  |  8.10  |  7.97  | 
240027  |  7.63  |  8.09  |  7.85  | 
240320  |  7.69  |  8.09  |  7.88  | 
240361  |  7.65  |  8.09  |  7.86  | 
240506  |  9.19  |  8.09  |  8.67  | 
240539  |  7.00  |  8.09  |  7.51  | 
240543  |  7.00  |  8.09  |  7.88  | 
240319  |  7.79  |  8.09  |  7.94  | 
240391  |  8.60  |  8.09  |  8.36  | 
240790  |  7.98  |  8.08  |  8.03  | 
240928  |  7.61  |  8.08  |  7.86  | 
241017  |  7.52  |  8.08  |  7.82  | 
240077  |  7.73  |  8.07  |  7.89  | 
240678  |  7.78  |  8.06  |  7.93  | 
240864  |  7.65  |  8.06  |  7.87  | 
240979  |  6.80  |  8.06  |  7.47  | 
241019  |  7.67  |  8.06  |  7.88  | 
241036  |  6.39  |  8.06  |  7.28  | 
241146  |  7.30  |  8.06  |  7.70  | 
241149  |  7.74  |  8.06  |  7.91  | 
240155  |  7.48  |  8.04  |  7.74  | 
240243  |  8.98  |  8.04  |  8.54  | 
240324  |  8.73  |  8.04  |  8.41  | 
240330  |  8.73  |  8.04  |  8.41  | 
240937  |  6.94  |  8.04  |  7.46  | 
240958  |  6.80  |  8.04  |  7.46  | 
241143  |  7.80  |  8.04  |  7.93  | 
240423  |  8.17  |  8.02  |  8.10  | 
240708  |  6.91  |  8.02  |  7.50  | 
240727  |  7.20  |  8.02  |  7.63  | 
240923  |  6.54  |  8.02  |  7.33  | 
241150  |  6.80  |  8.02  |  7.45  | 
240157  |  6.87  |  8.00  |  7.40  | 
240546  |  8.63  |  8.00  |  8.34  | 
240559  |  7.71  |  8.00  |  7.85  | 
240494  |  6.60  |  8.00  |  7.26  | 
240437  |  8.48  |  8.00  |  8.22  | 
240856  |  7.13  |  8.00  |  7.59  | 
241029  |  7.74  |  8.00  |  7.88  | 
241067  |  8.09  |  8.00  |  8.04  | 
241206  |  6.46  |  8.00  |  7.28  | 
241208  |  7.61  |  8.00  |  7.82  | 
240282  |  6.90  |  7.98  |  7.41  | 
240705  |  8.81  |  7.98  |  8.42  | 
240433  |  7.19  |  7.98  |  7.59  | 
240780  |  7.11  |  7.98  |  7.57  | 
240797  |  7.72  |  7.98  |  7.86  | 
240949  |  7.02  |  7.98  |  7.53  | 
241144  |  7.91  |  7.98  |  7.95  | 
240110  |  7.02  |  7.96  |  7.46  | 
240119  |  7.37  |  7.96  |  7.64  | 
240637  |  7.80  |  7.96  |  7.89  | 
240779  |  8.39  |  7.96  |  8.16  | 
240791  |  7.93  |  7.96  |  7.95  | 
241009  |  6.67  |  7.96  |  7.36  | 
241121  |  8.65  |  7.96  |  8.29  | 
241156  |  7.80  |  7.96  |  7.89  | 
241196  |  6.83  |  7.96  |  7.43  | 
240657  |  7.54  |  7.94  |  7.76  | 
240668  |  7.33  |  7.94  |  7.65  | 
240670  |  6.48  |  7.94  |  7.26  | 
240681  |  6.48  |  7.94  |  7.26  | 
240861  |  6.74  |  7.94  |  7.38  | 
240899  |  6.67  |  7.94  |  7.35  | 
241039  |  8.04  |  7.94  |  7.99  | 
241205  |  7.85  |  7.94  |  7.90  | 
240984  |  7.65  |  7.92  |  7.80  | 
241094  |  6.89  |  7.92  |  7.44  | 
240035  |  7.62  |  7.91  |  7.76  | 
240065  |  8.08  |  7.91  |  8.00  | 
240084  |  7.15  |  7.91  |  7.51  | 
240222  |  7.92  |  7.91  |  7.92  | 
240528  |  8.04  |  7.90  |  7.97  | 
240601  |  7.09  |  7.90  |  7.52  | 
240605  |  7.46  |  7.90  |  7.68  | 
240614  |  7.61  |  7.90  |  7.77  | 
240618  |  6.11  |  7.90  |  7.06  | 
241025  |  7.48  |  7.90  |  7.70  | 
240170  |  7.96  |  7.89  |  7.93  | 
240577  |  7.02  |  7.88  |  7.48  | 
241006  |  7.89  |  7.88  |  7.89  | 
241120  |  5.22  |  7.88  |  6.63  | 
240411  |  6.65  |  7.87  |  7.22  | 
240578  |  7.69  |  7.87  |  7.78  | 
240314  |  8.06  |  7.87  |  7.97  | 
240658  |  7.23  |  7.87  |  7.53  | 
240647  |  7.59  |  7.87  |  7.73  | 
240858  |  7.52  |  7.87  |  7.70  | 
240079  |  7.02  |  7.85  |  7.41  | 
240107  |  9.23  |  7.85  |  8.58  | 
240483  |  7.81  |  7.85  |  7.83  | 
240182  |  7.77  |  7.85  |  7.81  | 
240746  |  7.02  |  7.85  |  7.46  | 
240808  |  7.50  |  7.85  |  7.68  | 
241182  |  6.04  |  7.84  |  7.05  | 
240425  |  7.88  |  7.83  |  7.86  | 
240553  |  7.46  |  7.83  |  7.63  | 
240684  |  8.06  |  7.83  |  7.95  | 
240457  |  8.50  |  7.83  |  8.14  | 
240462  |  6.74  |  7.83  |  7.32  | 
240730  |  7.43  |  7.83  |  7.64  | 
240838  |  7.83  |  7.83  |  7.83  | 
241115  |  5.93  |  7.83  |  6.94  | 
241209  |  5.61  |  7.83  |  6.79  | 
240764  |  7.79  |  7.82  |  7.81  | 
240604  |  7.27  |  7.82  |  7.55  | 
240675  |  7.59  |  7.81  |  7.70  | 
240799  |  7.91  |  7.81  |  7.86  | 
240015  |  8.31  |  7.80  |  8.07  | 
240053  |  8.56  |  7.80  |  8.20  | 
240336  |  9.08  |  7.80  |  8.48  | 
240821  |  7.04  |  7.79  |  7.44  | 
241021  |  6.76  |  7.79  |  7.31  | 
241139  |  6.96  |  7.79  |  7.40  | 
240677  |  6.77  |  7.78  |  7.29  | 
240723  |  8.73  |  7.78  |  8.24  | 
240634  |  6.83  |  7.77  |  7.33  | 
240777  |  7.20  |  7.77  |  7.50  | 
